Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1128,1128,1128,1128,1128,0
2000-01-04,1122.5,1122.5,1122.5,1122.5,1122.5,0
2000-01-05,1135,1135,1135,1135,1135,0
2000-01-06,1146.5,1146.5,1146.5,1146.5,1146.5,0
2000-01-07,1138,1138,1138,1138,1138,0
2000-01-10,1133.5,1133.5,1133.5,1133.5,1133.5,0
2000-01-11,1147,1147,1147,1147,1147,0
2000-01-12,1144.5,1144.5,1144.5,1144.5,1144.5,0
2000-01-13,1135.5,1135.5,1135.5,1135.5,1135.5,0
2000-01-14,1125,1125,1125,1125,1125,0
2000-01-18,1127,1127,1127,1127,1127,0
2000-01-19,1134,1134,1134,1134,1134,0
2000-01-20,1126,1126,1126,1126,1126,0
2000-01-21,1128,1128,1128,1128,1128,0
2000-01-24,1124.5,1124.5,1124.5,1124.5,1124.5,0
2000-01-25,1127,1127,1127,1127,1127,0
2000-01-26,1127.8,1127.8,1127.8,1127.8,1127.8,0
2000-01-27,1125,1125,1125,1125,1125,0
2000-01-28,1121,1121,1121,1121,1121,0
2000-01-31,1124,1124,1124,1124,1124,0
2000-02-01,1127,1127,1127,1127,1127,0
2000-02-02,1131,1131,1131,1131,1131,0
2000-02-03,1130.5,1130.5,1130.5,1130.5,1130.5,0
2000-02-04,1130,1130,1130,1130,1130,0
2000-02-07,1129.6,1129.6,1129.6,1129.6,1129.6,0
2000-02-08,1129.5,1129.5,1129.5,1129.5,1129.5,0
2000-02-09,1124,1124,1124,1124,1124,0
2000-02-10,1121,1121,1121,1121,1121,0
2000-02-11,1115,1115,1115,1115,1115,0
2000-02-14,1128,1128,1128,1128,1128,0
2000-02-15,1128,1128,1128,1128,1128,0
2000-02-16,1126,1126,1126,1126,1126,0
2000-02-17,1128,1128,1128,1128,1128,0
2000-02-18,1129,1129,1129,1129,1129,0
2000-02-22,1135,1135,1135,1135,1135,0
2000-02-23,1136,1136,1136,1136,1136,0
2000-02-24,1144,1144,1144,1144,1144,0
2000-02-25,1137,1137,1137,1137,1137,0
2000-02-28,1135,1135,1135,1135,1135,0
2000-02-29,1131.31,1131.31,1131.31,1131.31,1131.31,0
2000-03-01,1128.5,1128.5,1128.5,1128.5,1128.5,0
2000-03-02,1120.5,1120.5,1120.5,1120.5,1120.5,0
2000-03-03,1120.5,1120.5,1120.5,1120.5,1120.5,0
2000-03-06,1119.3,1119.3,1119.3,1119.3,1119.3,0
2000-03-07,1118.7,1118.7,1118.7,1118.7,1118.7,0
2000-03-08,1119.2,1119.2,1119.2,1119.2,1119.2,0
2000-03-09,1123,1123,1123,1123,1123,0
2000-03-10,1120.2,1120.2,1120.2,1120.2,1120.2,0
2000-03-13,1121,1121,1121,1121,1121,0
2000-03-14,1118.4,1118.4,1118.4,1118.4,1118.4,0
2000-03-15,1118.5,1118.5,1118.5,1118.5,1118.5,0
2000-03-16,1118,1118,1118,1118,1118,0
2000-03-17,1117.3,1117.3,1117.3,1117.3,1117.3,0
2000-03-20,1118.18,1118.18,1118.18,1118.18,1118.18,0
2000-03-21,1117,1117,1117,1117,1117,0
2000-03-22,1113,1113,1113,1113,1113,0
2000-03-23,1110,1110,1110,1110,1110,0
2000-03-24,1108.7,1108.7,1108.7,1108.7,1108.7,0
2000-03-27,1112.1,1112.1,1112.1,1112.1,1112.1,0
2000-03-28,1112.5,1112.5,1112.5,1112.5,1112.5,0
2000-03-29,1109.4,1109.4,1109.4,1109.4,1109.4,0
2000-03-30,1107.5,1107.5,1107.5,1107.5,1107.5,0
2000-03-31,1105.5,1105.5,1105.5,1105.5,1105.5,0
2000-04-03,1113,1113,1113,1113,1113,0
2000-04-04,1114,1114,1114,1114,1114,0
2000-04-05,1115.5,1115.5,1115.5,1115.5,1115.5,0
2000-04-06,1112,1112,1112,1112,1112,0
2000-04-07,1107.5,1107.5,1107.5,1107.5,1107.5,0
2000-04-10,1110.5,1110.5,1110.5,1110.5,1110.5,0
2000-04-11,1110,1110,1110,1110,1110,0
2000-04-12,1108.5,1108.5,1108.5,1108.5,1108.5,0
2000-04-13,1107,1107,1107,1107,1107,0
2000-04-14,1111.2,1111.2,1111.2,1111.2,1111.2,0
2000-04-17,1113.8,1113.8,1113.8,1113.8,1113.8,0
2000-04-18,1110,1110,1110,1110,1110,0
2000-04-19,1109.5,1109.5,1109.5,1109.5,1109.5,0
2000-04-20,1109,1109,1109,1109,1109,0
2000-04-21,1108.5,1108.5,1108.5,1108.5,1108.5,0
2000-04-24,1108.8,1108.8,1108.8,1108.8,1108.8,0
2000-04-25,1108.5,1108.5,1108.5,1108.5,1108.5,0
2000-04-26,1108.1,1108.1,1108.1,1108.1,1108.1,0
2000-04-27,1111,1111,1111,1111,1111,0
2000-04-28,1110,1110,1110,1110,1110,0
2000-05-01,1110,1110,1110,1110,1110,0
2000-05-02,1110.1,1110.1,1110.1,1110.1,1110.1,0
2000-05-03,1110,1110,1110,1110,1110,0
2000-05-04,1111.5,1111.5,1111.5,1111.5,1111.5,0
2000-05-05,1111,1111,1111,1111,1111,0
2000-05-08,1109.7,1109.7,1109.7,1109.7,1109.7,0
2000-05-09,1109.5,1109.5,1109.5,1109.5,1109.5,0
2000-05-10,1109.2,1109.2,1109.2,1109.2,1109.2,0
2000-05-11,1113,1113,1113,1113,1113,0
2000-05-12,1113.5,1113.5,1113.5,1113.5,1113.5,0
2000-05-15,1114.9,1114.9,1114.9,1114.9,1114.9,0
2000-05-16,1115,1115,1115,1115,1115,0
2000-05-17,1115.6,1115.6,1115.6,1115.6,1115.6,0
2000-05-18,1118.8,1118.8,1118.8,1118.8,1118.8,0
2000-05-19,1122.5,1122.5,1122.5,1122.5,1122.5,0
2000-05-22,1131.5,1131.5,1131.5,1131.5,1131.5,0
2000-05-23,1135,1135,1135,1135,1135,0
2000-05-24,1133.5,1133.5,1133.5,1133.5,1133.5,0
2000-05-25,1129.9,1129.9,1129.9,1129.9,1129.9,0
2000-05-26,1137.5,1137.5,1137.5,1137.5,1137.5,0
2000-05-30,1137,1137,1137,1137,1137,0
2000-05-31,1130,1130,1130,1130,1130,0
2000-06-01,1133,1133,1133,1133,1133,0
2000-06-02,1125.2,1125.2,1125.2,1125.2,1125.2,0
2000-06-05,1118,1118,1118,1118,1118,0
2000-06-06,1117,1117,1117,1117,1117,0
2000-06-07,1113.2,1113.2,1113.2,1113.2,1113.2,0
2000-06-08,1116,1116,1116,1116,1116,0
2000-06-09,1115.5,1115.5,1115.5,1115.5,1115.5,0
2000-06-12,1113.4,1113.4,1113.4,1113.4,1113.4,0
2000-06-13,1114.4,1114.4,1114.4,1114.4,1114.4,0
2000-06-14,1114.5,1114.5,1114.5,1114.5,1114.5,0
2000-06-15,1115,1115,1115,1115,1115,0
2000-06-16,1116.4,1116.4,1116.4,1116.4,1116.4,0
2000-06-19,1122.22,1122.22,1122.22,1122.22,1122.22,0
2000-06-20,1120,1120,1120,1120,1120,0
2000-06-21,1119.3,1119.3,1119.3,1119.3,1119.3,0
2000-06-22,1118.8,1118.8,1118.8,1118.8,1118.8,0
2000-06-23,1119.5,1119.5,1119.5,1119.5,1119.5,0
2000-06-26,1118.2,1118.2,1118.2,1118.2,1118.2,0
2000-06-27,1118.3,1118.3,1118.3,1118.3,1118.3,0
2000-06-28,1116.5,1116.5,1116.5,1116.5,1116.5,0
2000-06-29,1115,1115,1115,1115,1115,0
2000-06-30,1115.15,1115.15,1115.15,1115.15,1115.15,0
2000-07-03,1113.9,1113.9,1113.9,1113.9,1113.9,0
2000-07-05,1117.5,1117.5,1117.5,1117.5,1117.5,0
2000-07-06,1117.5,1117.5,1117.5,1117.5,1117.5,0
2000-07-07,1119,1119,1119,1119,1119,0
2000-07-10,1118.5,1118.5,1118.5,1118.5,1118.5,0
2000-07-11,1116.7,1116.7,1116.7,1116.7,1116.7,0
2000-07-12,1115.7,1115.7,1115.7,1115.7,1115.7,0
2000-07-13,1111.3,1111.3,1111.3,1111.3,1111.3,0
2000-07-14,1113,1113,1113,1113,1113,0
2000-07-17,1113.1,1113.1,1113.1,1113.1,1113.1,0
2000-07-18,1113.7,1113.7,1113.7,1113.7,1113.7,0
2000-07-19,1112.3,1112.3,1112.3,1112.3,1112.3,0
2000-07-20,1111.6,1111.6,1111.6,1111.6,1111.6,0
2000-07-21,1113,1113,1113,1113,1113,0
2000-07-24,1114.2,1114.2,1114.2,1114.2,1114.2,0
2000-07-25,1116,1116,1116,1116,1116,0
2000-07-26,1115.6,1115.6,1115.6,1115.6,1115.6,0
2000-07-27,1115,1115,1115,1115,1115,0
2000-07-28,1117,1117,1117,1117,1117,0
2000-07-31,1116.9,1116.9,1116.9,1116.9,1116.9,0
2000-08-01,1115.8,1115.8,1115.8,1115.8,1115.8,0
2000-08-02,1115.8,1115.8,1115.8,1115.8,1115.8,0
2000-08-03,1115,1115,1115,1115,1115,0
2000-08-04,1116,1116,1116,1116,1116,0
2000-08-07,1118,1118,1118,1118,1118,0
2000-08-08,1116.5,1116.5,1116.5,1116.5,1116.5,0
2000-08-09,1115.3,1115.3,1115.3,1115.3,1115.3,0
2000-08-10,1114.5,1114.5,1114.5,1114.5,1114.5,0
2000-08-11,1116,1116,1116,1116,1116,0
2000-08-14,1117,1117,1117,1117,1117,0
2000-08-15,1116.3,1116.3,1116.3,1116.3,1116.3,0
2000-08-16,1115.2,1115.2,1115.2,1115.2,1115.2,0
2000-08-17,1115,1115,1115,1115,1115,0
2000-08-18,1115.1,1115.1,1115.1,1115.1,1115.1,0
2000-08-21,1114.5,1114.5,1114.5,1114.5,1114.5,0
2000-08-22,1114.14,1114.14,1114.14,1114.14,1114.14,0
2000-08-23,1114.8,1114.8,1114.8,1114.8,1114.8,0
2000-08-24,1114.2,1114.2,1114.2,1114.2,1114.2,0
2000-08-25,1114.1,1114.1,1114.1,1114.1,1114.1,0
2000-08-28,1111.9,1111.9,1111.9,1111.9,1111.9,0
2000-08-29,1110.2,1110.2,1110.2,1110.2,1110.2,0
2000-08-30,1108.6,1108.6,1108.6,1108.6,1108.6,0
2000-08-31,1108.8,1108.8,1108.8,1108.8,1108.8,0
2000-09-01,1105.7,1105.7,1105.7,1105.7,1105.7,0
2000-09-05,1105.5,1105.5,1105.5,1105.5,1105.5,0
2000-09-06,1107.4,1107.4,1107.4,1107.4,1107.4,0
2000-09-07,1111,1111,1111,1111,1111,0
2000-09-08,1109.5,1109.5,1109.5,1109.5,1109.5,0
2000-09-11,1109.5,1109.5,1109.5,1109.5,1109.5,0
2000-09-12,1109.5,1109.5,1109.5,1109.5,1109.5,0
2000-09-13,1110,1110,1110,1110,1110,0
2000-09-14,1115.2,1115.2,1115.2,1115.2,1115.2,0
2000-09-15,1119.9,1119.9,1119.9,1119.9,1119.9,0
2000-09-18,1140,1140,1140,1140,1140,0
2000-09-19,1127,1127,1127,1127,1127,0
2000-09-20,1127,1127,1127,1127,1127,0
2000-09-21,1128,1128,1128,1128,1128,0
2000-09-22,1135,1135,1135,1135,1135,0
2000-09-25,1126,1126,1126,1126,1126,0
2000-09-26,1120,1120,1120,1120,1120,0
2000-09-27,1114,1114,1114,1114,1114,0
2000-09-28,1115.9,1115.9,1115.9,1115.9,1115.9,0
2000-09-29,1115.3,1115.3,1115.3,1115.3,1115.3,0
2000-10-02,1118.18,1118.18,1118.18,1118.18,1118.18,0
2000-10-03,1120,1120,1120,1120,1120,0
2000-10-04,1120,1120,1120,1120,1120,0
2000-10-05,1120,1120,1120,1120,1120,0
2000-10-06,1119,1119,1119,1119,1119,0
2000-10-10,1121.9,1121.9,1121.9,1121.9,1121.9,0
2000-10-11,1124,1124,1124,1124,1124,0
2000-10-12,1124,1124,1124,1124,1124,0
2000-10-13,1132,1132,1132,1132,1132,0
2000-10-16,1130,1130,1130,1130,1130,0
2000-10-17,1136,1136,1136,1136,1136,0
2000-10-18,1140,1140,1140,1140,1140,0
2000-10-19,1140,1140,1140,1140,1140,0
2000-10-20,1132,1132,1132,1132,1132,0
2000-10-23,1141,1141,1141,1141,1141,0
2000-10-24,1138,1138,1138,1138,1138,0
2000-10-25,1140,1140,1140,1140,1140,0
2000-10-26,1140,1140,1140,1140,1140,0
2000-10-27,1138,1138,1138,1138,1138,0
2000-10-30,1140,1140,1140,1140,1140,0
2000-10-31,1139,1139,1139,1139,1139,0
2000-11-01,1138.3,1138.3,1138.3,1138.3,1138.3,0
2000-11-02,1134.8,1134.8,1134.8,1134.8,1134.8,0
2000-11-03,1136.3,1136.3,1136.3,1136.3,1136.3,0
2000-11-06,1135,1135,1135,1135,1135,0
2000-11-07,1139,1139,1139,1139,1139,0
2000-11-08,1136.5,1136.5,1136.5,1136.5,1136.5,0
2000-11-09,1132,1132,1132,1132,1132,0
2000-11-10,1137,1137,1137,1137,1137,0
2000-11-13,1141,1141,1141,1141,1141,0
2000-11-14,1139,1139,1139,1139,1139,0
2000-11-15,1138.7,1138.7,1138.7,1138.7,1138.7,0
2000-11-16,1141.3,1141.3,1141.3,1141.3,1141.3,0
2000-11-17,1144.5,1144.5,1144.5,1144.5,1144.5,0
2000-11-20,1157,1157,1157,1157,1157,0
2000-11-21,1168,1168,1168,1168,1168,0
2000-11-22,1179,1179,1179,1179,1179,0
2000-11-24,1191,1191,1191,1191,1191,0
2000-11-27,1189,1189,1189,1189,1189,0
2000-11-28,1189,1189,1189,1189,1189,0
2000-11-29,1204,1204,1204,1204,1204,0
2000-11-30,1217,1217,1217,1217,1217,0
2000-12-01,1211,1211,1211,1211,1211,0
2000-12-04,1220,1220,1220,1220,1220,0
2000-12-05,1204,1204,1204,1204,1204,0
2000-12-06,1201,1201,1201,1201,1201,0
2000-12-07,1201,1201,1201,1201,1201,0
2000-12-08,1192,1192,1192,1192,1192,0
2000-12-11,1184,1184,1184,1184,1184,0
2000-12-12,1191,1191,1191,1191,1191,0
2000-12-13,1192.1,1192.1,1192.1,1192.1,1192.1,0
2000-12-14,1203,1203,1203,1203,1203,0
2000-12-15,1208,1208,1208,1208,1208,0
2000-12-18,1206,1206,1206,1206,1206,0
2000-12-19,1209,1209,1209,1209,1209,0
2000-12-20,1218,1218,1218,1218,1218,0
2000-12-21,1228.8,1228.8,1228.8,1228.8,1228.8,0
2000-12-22,1237.3,1237.3,1237.3,1237.3,1237.3,0
2000-12-26,1252.5,1252.5,1252.5,1252.5,1252.5,0
2000-12-27,1260,1260,1260,1260,1260,0
2000-12-28,1253,1253,1253,1253,1253,0
2000-12-29,1267,1267,1267,1267,1267,0
2001-01-02,1279,1279,1279,1279,1279,0
2001-01-03,1271.5,1271.5,1271.5,1271.5,1271.5,0
2001-01-04,1265,1265,1265,1265,1265,0
2001-01-05,1264.7,1264.7,1264.7,1264.7,1264.7,0
2001-01-08,1263.6,1263.6,1263.6,1263.6,1263.6,0
2001-01-09,1253.3,1253.3,1253.3,1253.3,1253.3,0
2001-01-10,1270,1270,1270,1270,1270,0
2001-01-11,1279.2,1279.2,1279.2,1279.2,1279.2,0
2001-01-12,1279.2,1279.2,1279.2,1279.2,1279.2,0
2001-01-16,1283.8,1283.8,1283.8,1283.8,1283.8,0
2001-01-17,1279,1279,1279,1279,1279,0
2001-01-18,1286,1286,1286,1286,1286,0
2001-01-19,1276.12,1276.12,1276.12,1276.12,1276.12,0
2001-01-22,1275.1,1275.1,1275.1,1275.1,1275.1,0
2001-01-23,1275.1,1275.1,1275.1,1275.1,1275.1,0
2001-01-24,1275.8,1275.8,1275.8,1275.8,1275.8,0
2001-01-25,1277.5,1277.5,1277.5,1277.5,1277.5,0
2001-01-26,1281.9,1281.9,1281.9,1281.9,1281.9,0
2001-01-29,1266,1266,1266,1266,1266,0
2001-01-30,1265.5,1265.5,1265.5,1265.5,1265.5,0
2001-01-31,1258,1258,1258,1258,1258,0
2001-02-01,1257,1257,1257,1257,1257,0
2001-02-02,1249.5,1249.5,1249.5,1249.5,1249.5,0
2001-02-05,1263,1263,1263,1263,1263,0
2001-02-06,1259,1259,1259,1259,1259,0
2001-02-07,1270,1270,1270,1270,1270,0
2001-02-08,1267,1267,1267,1267,1267,0
2001-02-09,1265,1265,1265,1265,1265,0
2001-02-12,1264.1,1264.1,1264.1,1264.1,1264.1,0
2001-02-13,1255.5,1255.5,1255.5,1255.5,1255.5,0
2001-02-14,1252.5,1252.5,1252.5,1252.5,1252.5,0
2001-02-15,1242,1242,1242,1242,1242,0
2001-02-16,1244,1244,1244,1244,1244,0
2001-02-20,1234,1234,1234,1234,1234,0
2001-02-21,1240,1240,1240,1240,1240,0
2001-02-22,1241.1,1241.1,1241.1,1241.1,1241.1,0
2001-02-23,1249.1,1249.1,1249.1,1249.1,1249.1,0
2001-02-26,1247.1,1247.1,1247.1,1247.1,1247.1,0
2001-02-27,1249.5,1249.5,1249.5,1249.5,1249.5,0
2001-02-28,1254.8,1254.8,1254.8,1254.8,1254.8,0
2001-03-01,1253.1,1253.1,1253.1,1253.1,1253.1,0
2001-03-02,1268,1268,1268,1268,1268,0
2001-03-05,1275,1275,1275,1275,1275,0
2001-03-06,1265.5,1265.5,1265.5,1265.5,1265.5,0
2001-03-07,1274.5,1274.5,1274.5,1274.5,1274.5,0
2001-03-08,1272,1272,1272,1272,1272,0
2001-03-09,1269.1,1269.1,1269.1,1269.1,1269.1,0
2001-03-12,1280,1280,1280,1280,1280,0
2001-03-13,1276,1276,1276,1276,1276,0
2001-03-14,1278,1278,1278,1278,1278,0
2001-03-15,1286,1286,1286,1286,1286,0
2001-03-16,1295,1295,1295,1295,1295,0
2001-03-19,1298,1298,1298,1298,1298,0
2001-03-20,1297.01,1297.01,1297.01,1297.01,1297.01,0
2001-03-21,1310,1310,1310,1310,1310,0
2001-03-22,1324,1324,1324,1324,1324,0
2001-03-23,1310,1310,1310,1310,1310,0
2001-03-26,1310.7,1310.7,1310.7,1310.7,1310.7,0
2001-03-27,1312,1312,1312,1312,1312,0
2001-03-28,1302,1302,1302,1302,1302,0
2001-03-29,1323,1323,1323,1323,1323,0
2001-03-30,1332,1332,1332,1332,1332,0
2001-04-02,1350,1350,1350,1350,1350,0
2001-04-03,1350,1350,1350,1350,1350,0
2001-04-04,1369,1369,1369,1369,1369,0
2001-04-05,1352,1352,1352,1352,1352,0
2001-04-06,1342.1,1342.1,1342.1,1342.1,1342.1,0
2001-04-09,1341.9,1341.9,1341.9,1341.9,1341.9,0
2001-04-10,1334,1334,1334,1334,1334,0
2001-04-11,1326,1326,1326,1326,1326,0
2001-04-12,1316.1,1316.1,1316.1,1316.1,1316.1,0
2001-04-13,1325.3,1325.3,1325.3,1325.3,1325.3,0
2001-04-16,1330,1330,1330,1330,1330,0
2001-04-17,1325,1325,1325,1325,1325,0
2001-04-18,1316,1316,1316,1316,1316,0
2001-04-19,1299,1299,1299,1299,1299,0
2001-04-20,1313.1,1313.1,1313.1,1313.1,1313.1,0
2001-04-23,1314.5,1314.5,1314.5,1314.5,1314.5,0
2001-04-24,1307,1307,1307,1307,1307,0
2001-04-25,1307.9,1307.9,1307.9,1307.9,1307.9,0
2001-04-26,1317,1317,1317,1317,1317,0
2001-04-27,1328,1328,1328,1328,1328,0
2001-04-30,1319,1319,1319,1319,1319,0
2001-05-01,1319,1319,1319,1319,1319,0
2001-05-02,1310,1310,1310,1310,1310,0
2001-05-03,1296,1296,1296,1296,1296,0
2001-05-04,1292.5,1292.5,1292.5,1292.5,1292.5,0
2001-05-07,1297.1,1297.1,1297.1,1297.1,1297.1,0
2001-05-08,1304,1304,1304,1304,1304,0
2001-05-09,1301.9,1301.9,1301.9,1301.9,1301.9,0
2001-05-10,1307,1307,1307,1307,1307,0
2001-05-11,1298,1298,1298,1298,1298,0
2001-05-14,1298,1298,1298,1298,1298,0
2001-05-15,1303.7,1303.7,1303.7,1303.7,1303.7,0
2001-05-16,1310,1310,1310,1310,1310,0
2001-05-17,1302.1,1302.1,1302.1,1302.1,1302.1,0
2001-05-18,1304.1,1304.1,1304.1,1304.1,1304.1,0
2001-05-21,1303,1303,1303,1303,1303,0
2001-05-22,1305,1305,1305,1305,1305,0
2001-05-23,1287,1287,1287,1287,1287,0
2001-05-24,1286,1286,1286,1286,1286,0
2001-05-25,1289.3,1289.3,1289.3,1289.3,1289.3,0
2001-05-29,1290,1290,1290,1290,1290,0
2001-05-30,1290,1290,1290,1290,1290,0
2001-05-31,1282,1282,1282,1282,1282,0
2001-06-01,1286,1286,1286,1286,1286,0
2001-06-04,1285,1285,1285,1285,1285,0
2001-06-05,1287,1287,1287,1287,1287,0
2001-06-06,1286,1286,1286,1286,1286,0
2001-06-07,1286,1286,1286,1286,1286,0
2001-06-08,1286,1286,1286,1286,1286,0
2001-06-11,1289,1289,1289,1289,1289,0
2001-06-12,1291,1291,1291,1291,1291,0
2001-06-13,1293,1293,1293,1293,1293,0
2001-06-14,1293,1293,1293,1293,1293,0
2001-06-15,1293,1293,1293,1293,1293,0
2001-06-18,1293,1293,1293,1293,1293,0
2001-06-19,1305,1305,1305,1305,1305,0
