Date,Open,High,Low,Close,Adj Close,Volume
2023-09-12,10279,10279,10131,10190,10190,15064
2023-09-13,9879,9904,9839,9904,9904,47835
2023-09-14,10200,10200,10121,10180,10180,24548
2023-09-15,10289,10329,10289,10304,10304,39804
2023-09-18,10284,10284,9815,9834,9834,83781
2023-09-19,9825,9825,9760,9825,9825,20897
2023-09-20,9830,9854,9780,9854,9854,11638
2023-09-21,9424,9493,9424,9474,9474,25612
2023-09-22,9128,9143,9083,9138,9138,40740
2023-09-25,9063,9103,8984,9103,9103,20312
2023-09-26,9217,9296,9157,9251,9251,12027
2023-09-27,9098,9133,9049,9068,9068,47898
2023-10-04,9370,9370,9217,9281,9281,14686
2023-10-05,9617,9617,9513,9548,9548,23911
2023-10-06,9543,9592,9533,9568,9568,21512
2023-10-10,10003,10082,9928,10037,10037,67843
2023-10-11,10042,10042,9943,9978,9978,67298
2023-10-12,10240,10363,10240,10309,10309,15600
2023-10-13,10329,10398,10329,10344,10344,39632
2023-10-16,9993,10087,9993,10082,10082,15989
2023-10-17,10210,10260,10180,10230,10230,41752
2023-10-18,10072,10077,9973,9998,9998,19915
2023-10-19,9726,9765,9691,9701,9701,19777
2023-10-20,9493,9503,9355,9365,9365,29864
2023-10-23,9148,9187,9133,9177,9177,45449
2023-10-24,9281,9301,9232,9296,9296,76023
2023-10-25,9375,9375,9320,9360,9360,51809
2023-10-26,8688,8718,8638,8688,8688,43271
2023-10-27,8456,8550,8411,8550,8550,115146
2023-10-30,8653,8688,8599,8634,8634,19879
2023-10-31,8703,8737,8653,8727,8727,79170
2023-11-01,8767,8905,8752,8891,8891,17197
2023-11-02,9316,9316,9207,9246,9246,30424
2023-11-03,9320,9320,9093,9143,9143,35256
2023-11-06,9192,9241,9054,9063,9063,115995
2023-11-07,9192,9330,9192,9320,9320,99232
2023-11-08,9484,9592,9409,9587,9587,139418
2023-11-09,9637,9706,9587,9681,9681,100351
2023-11-10,9592,9627,9568,9627,9627,121917
2023-11-13,10067,10096,10017,10091,10091,120177
2023-11-14,10077,10314,10077,10314,10314,121925
2023-11-15,10388,10388,10225,10304,10304,135234
2023-11-16,10240,10269,10032,10062,10062,94156
2023-11-17,10131,10175,10087,10131,10131,130396
2023-11-20,10101,10131,9914,9953,9953,167946
2023-11-21,10250,10353,10235,10319,10319,167110
2023-11-22,10205,10324,10175,10324,10324,102422
2023-11-23,10393,10452,10339,10418,10418,94892
2023-11-24,10428,10507,10388,10497,10497,113796
2023-11-27,10245,10299,10225,10250,10250,105437
2023-11-28,10269,10269,10151,10205,10205,120180
2023-11-29,10230,10279,10180,10279,10279,109368
2023-11-30,10136,10190,10072,10111,10111,157033
2023-12-01,10022,10106,9983,10091,10091,41339
2023-12-04,9874,10047,9874,10017,10017,9189
2023-12-05,9825,9864,9800,9810,9810,47420
2023-12-06,10111,10220,10111,10205,10205,11964
2023-12-07,9983,10121,9983,10096,10096,31625
2023-12-08,10334,10339,10210,10225,10225,14827
2023-12-11,10497,10551,10472,10472,10472,36796
2023-12-12,10556,10556,10304,10319,10319,17248
2023-12-13,10432,10556,10432,10556,10556,28704
2023-12-14,10358,10467,10339,10432,10432,27350
2023-12-15,10210,10309,10210,10304,10304,23843
2023-12-18,10502,10516,10487,10487,10487,9998
2023-12-19,10724,10927,10146,10917,10917,36613
2023-12-20,10932,10946,10828,10877,10877,26681
2023-12-21,10729,10803,10704,10803,10803,13389
2023-12-22,10818,10848,10798,10838,10838,11153
2023-12-26,10808,10858,10764,10803,10803,14727
2023-12-27,10843,10843,10778,10803,10803,9485
2023-12-28,10803,10808,10759,10793,10793,8634
2024-01-02,10650,10783,10635,10764,10764,8206
2024-01-03,10576,10576,10432,10437,10437,19466
2024-01-04,10373,10388,10324,10344,10344,19449
2024-01-05,10250,10279,10195,10245,10245,38365
2024-01-08,10348,10363,10294,10314,10314,9230
2024-01-09,10798,10853,10773,10853,10853,12891
2024-01-10,11110,11119,11065,11065,11065,14996
2024-01-11,11446,11460,11386,11386,11386,24271
2024-01-12,11327,11342,11287,11292,11292,32693
2024-01-15,11297,11520,11297,11510,11510,15724
2024-01-16,11421,11515,11406,11510,11510,7970
2024-01-17,11742,11856,11737,11737,11737,16768
2024-01-18,11693,11757,11648,11683,11683,9587
2024-01-19,12029,12078,11935,12073,12073,12199
2024-01-22,12439,12627,12409,12617,12617,32647
2024-01-23,12493,12498,12370,12380,12380,21714
2024-01-24,12592,12716,12592,12701,12701,15417
2024-01-25,12736,12805,12696,12795,12795,12949
2024-01-26,12587,12656,12474,12503,12503,24778
2024-01-29,12607,12711,12602,12701,12701,15778
2024-01-30,12973,13002,12918,12918,12918,35454
2024-01-31,12217,12320,12167,12301,12301,36072
2024-02-01,11861,12133,11777,12078,12078,27599
2024-02-02,13057,13057,12918,12968,12968,31118
2024-02-05,13591,13704,13487,13507,13507,31625
2024-02-06,13630,13670,13551,13551,13551,28080
2024-02-07,13393,13442,13334,13408,13408,14341
2024-02-08,13833,13907,13803,13857,13857,36100
2024-02-13,14030,14080,14001,14080,14080,38384
2024-02-14,13917,13936,13828,13862,13862,40330
2024-02-15,14144,14184,14105,14179,14179,30652
2024-02-16,14105,14223,14090,14223,14223,22700
2024-02-19,13946,13986,13862,13976,13976,39627
2024-02-20,13951,13966,13838,13862,13862,13140
2024-02-21,13447,13462,13378,13423,13423,32495
2024-02-22,13892,14065,13892,14011,14011,43568
2024-02-23,14554,14658,14475,14658,14658,29738
2024-02-26,14475,14475,14426,14455,14455,34514
2024-02-27,14386,14396,14292,14292,14292,36529
2024-02-28,14421,14535,14386,14441,14441,23581
2024-02-29,14258,14327,14248,14248,14248,20223
2024-03-04,14979,15034,14895,15029,15029,54022
2024-03-05,14762,14791,14698,14747,14747,43649
2024-03-06,14431,14549,14431,14490,14490,48469
2024-03-07,14431,14431,14258,14337,14337,45120
2024-03-08,14890,15162,14876,14945,14945,49526
2024-03-11,14337,14342,14095,14119,14119,77374
2024-03-12,14085,14105,14011,14095,14095,57372
2024-03-13,14693,14816,14638,14791,14791,40457
2024-03-14,14623,14826,14594,14737,14737,94359
2024-03-15,14678,14777,14643,14703,14703,29826
2024-03-18,14530,14717,14485,14707,14707,25541
2024-03-19,14925,14994,14910,14979,14979,57192
2024-03-20,15187,15241,15147,15231,15231,25481
2024-03-21,15558,15577,15483,15523,15523,45279
2024-03-22,15444,15627,15429,15617,15617,43344
2024-03-25,16037,16042,15815,15869,15869,54234
2024-03-26,15869,15933,15800,15903,15903,34092
2024-03-27,15676,15928,15676,15928,15928,19155
2024-03-28,15765,15810,15646,15716,15716,29210
2024-03-29,15726,15726,15597,15627,15627,12367
2024-04-01,15681,15815,15681,15815,15815,18274
2024-04-02,15864,15913,15819,15869,15869,22188
2024-04-03,15844,15844,15454,15523,15523,31524
2024-04-04,15721,15859,15706,15790,15790,14192
2024-04-05,15305,15409,15221,15409,15409,42571
2024-04-08,15859,15958,15819,15913,15913,61710
2024-04-09,15899,15938,15839,15879,15879,17107
2024-04-11,15988,16106,15973,16106,16106,29072
2024-04-12,16882,17129,16882,17129,17129,64511
2024-04-15,16798,16902,16679,16902,16902,49715
2024-04-16,16210,16403,16116,16269,16269,52295
2024-04-17,16230,16269,15815,15973,15973,55385
2024-04-18,15607,15612,15360,15533,15533,58736
2024-04-19,15320,15320,14910,14955,14955,155844
2024-04-22,14282,14411,14258,14411,14411,100259
2024-04-23,14416,14515,14366,14505,14505,23323
2024-04-24,15276,15528,15266,15493,15493,48065
2024-04-25,15202,15202,13383,13383,13383,110597
2024-04-26,15632,15696,15320,15646,15646,90022
2024-04-29,15775,16057,15775,15918,15918,30970
2024-04-30,15933,16047,15889,16047,16047,33789
2024-05-02,15335,15429,15236,15320,15320,59577
2024-05-03,15849,15849,15602,15671,15671,33778
2024-05-07,16467,16467,16314,16437,16437,59749
2024-05-08,16536,16586,16477,16546,16546,43227
2024-05-09,16521,16640,16521,16610,16610,24379
2024-05-10,16699,16754,16615,16754,16754,26462
2024-05-13,16758,16823,16714,16823,16823,18553
2024-05-14,16788,16808,16768,16773,16773,20042
2024-05-16,17164,17376,17159,17159,17159,79904
2024-05-17,17095,17248,17030,17238,17238,39713
2024-05-20,17198,17302,17198,17263,17263,20275
2024-05-21,17495,17648,17495,17599,17599,49038
2024-05-22,17722,17801,17702,17732,17732,34834
2024-05-23,18009,18053,17846,17999,17999,76614
2024-05-24,17925,17984,17851,17925,17925,61976
2024-05-27,18152,18281,18152,18256,18256,56109
2024-05-28,18221,18286,18147,18286,18286,52733
2024-05-29,18750,18879,18651,18651,18651,85237
2024-05-30,18730,18834,18721,18834,18834,37636
2024-05-31,18335,18464,18226,18444,18444,91728
2024-06-03,18528,18528,18256,18355,18355,72347
2024-06-04,18518,18582,18365,18557,18557,31033
2024-06-05,18755,18819,18646,18740,18740,40350
2024-06-07,19472,19566,19319,19541,19541,60283
2024-06-10,19625,20010,19600,19694,19694,65667
2024-06-11,19887,20030,19788,20030,20030,34469
2024-06-12,20520,20668,20520,20613,20613,52838
2024-06-13,22234,22234,21350,21834,21834,154761
2024-06-14,21948,22393,21834,22378,22378,127564
2024-06-17,22753,22961,22427,22521,22521,199000
2024-06-18,22907,23010,22847,22996,22996,143062
2024-06-19,22966,23045,22882,23045,23045,113766
2024-06-20,23065,23386,23065,23376,23376,86056
2024-06-21,22783,22783,22516,22714,22714,117620
2024-06-24,22422,22422,22239,22274,22274,93519
2024-06-25,21261,21340,21073,21340,21340,118226
2024-06-26,22081,22353,22081,22348,22348,91299
2024-06-27,22462,22600,22363,22437,22437,76687
2024-06-28,22694,23668,22674,22704,22704,139599
2024-07-01,22126,22244,22052,22190,22190,96130
2024-07-02,22734,22758,22511,22704,22704,77100
2024-07-03,23149,23332,23050,23322,23322,56135
2024-07-04,23865,23865,23628,23658,23658,86940
2024-07-05,23613,23712,23401,23712,23712,73459
2024-07-08,24024,24285,23905,24285,24285,93851
2024-07-09,24552,24701,24503,24562,24562,98974
2024-07-10,24720,24834,24710,24750,24750,89759
2024-07-11,25284,25284,25121,25215,25215,82917
2024-07-12,23198,23450,22882,23450,23450,200885
2024-07-15,23608,23895,23524,23895,23895,96488
