Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,10000,10045,9970,9985,9985,1064874
2021-12-10,9747,9762,9697,9712,9712,916504
2021-12-13,9955,10015,9945,9985,9985,336415
2021-12-14,9643,9658,9618,9648,9648,676431
2021-12-15,9429,9479,9404,9459,9459,679209
2021-12-16,9906,9985,9866,9985,9985,435543
2021-12-17,9345,9414,9256,9325,9325,1182475
2021-12-20,9226,9231,9017,9042,9042,576901
2021-12-21,9201,9300,9141,9285,9285,347218
2021-12-22,9449,9479,9409,9479,9479,342620
2021-12-23,9702,9712,9677,9712,9712,307051
2021-12-24,9821,9856,9811,9851,9851,670548
2021-12-27,9881,9911,9881,9891,9891,539480
2021-12-28,10139,10159,10114,10149,10149,461399
2021-12-29,10104,10159,10099,10159,10159,403772
2021-12-30,10060,10094,10025,10070,10070,242474
2022-01-03,10005,10005,9955,9980,9980,399428
2022-01-04,10055,10124,10055,10124,10124,613813
2022-01-05,9777,9802,9677,9727,9727,544796
2022-01-06,9241,9266,9052,9082,9082,1001075
2022-01-07,9231,9305,9211,9236,9236,490948
2022-01-10,8983,9077,8958,9072,9072,357154
2022-01-11,9057,9072,8993,8993,8993,309280
2022-01-12,9251,9355,9251,9335,9335,374958
2022-01-13,9340,9350,9261,9300,9300,313451
2022-01-14,8933,8933,8809,8928,8928,710519
2022-01-17,8983,8988,8903,8943,8943,204621
2022-01-18,8993,9002,8789,8839,8839,406193
2022-01-19,8546,8571,8377,8402,8402,524115
2022-01-20,8318,8471,8318,8457,8457,278870
2022-01-21,8055,8059,7896,8015,8015,958892
2022-01-24,7831,7851,7787,7831,7831,471651
2022-01-25,7767,7767,7444,7553,7553,732254
2022-01-26,7444,7494,7355,7484,7484,619525
2022-01-27,7479,7523,7082,7146,7146,529759
2022-01-28,7305,7424,7270,7399,7399,423596
2022-02-03,7891,8015,7846,7970,7970,824392
2022-02-04,7960,8030,7896,8020,8020,317229
2022-02-07,7921,7925,7791,7906,7906,178783
2022-02-08,7826,7831,7732,7772,7772,265671
2022-02-09,7940,8030,7911,8010,8010,226950
2022-02-10,8213,8238,8149,8189,8189,201921
2022-02-11,7856,7886,7712,7762,7762,472824
2022-02-14,7424,7454,7375,7419,7419,384712
2022-02-15,7439,7489,7370,7424,7424,239099
2022-02-16,7697,7737,7687,7737,7737,167822
2022-02-17,7717,7752,7563,7672,7672,307244
2022-02-18,7315,7444,7270,7414,7414,537978
2022-02-21,6997,7216,6953,7211,7211,550545
2022-02-22,6814,6868,6759,6824,6824,1017384
2022-02-23,7067,7126,7027,7097,7097,422590
2022-02-24,6650,6665,6268,6303,6303,2847109
2022-02-25,6829,7062,6749,6987,6987,1769677
2022-02-28,6948,7072,6878,6987,6987,1896488
2022-03-02,7141,7221,7092,7176,7176,1036489
2022-03-03,7320,7385,7310,7365,7365,751201
2022-03-04,7216,7216,6863,7097,7097,2318857
2022-03-07,6710,6789,6645,6714,6714,1515987
2022-03-08,6337,6501,6278,6278,6278,1843986
2022-03-10,6809,6848,6759,6779,6779,946400
2022-03-11,6710,6710,6556,6695,6695,1367439
2022-03-14,6501,6516,6387,6491,6491,1601860
