Date,Open,High,Low,Close,Adj Close,Volume
2024-09-24,99308,99308,99303,99308,99308,359
2024-09-25,99318,99323,99318,99323,99323,3884
2024-09-26,99353,99353,99348,99353,99353,467
2024-09-27,99373,99373,99363,99373,99373,657
2024-09-30,99393,99393,99388,99393,99393,596
2024-10-02,99417,99422,99417,99422,99422,387
2024-10-04,99427,99432,99427,99427,99427,154
2024-10-07,99447,99447,99437,99447,99447,1577
2024-10-08,99457,99462,99457,99462,99462,1028
2024-10-10,99492,99492,99487,99492,99492,1677
2024-10-11,99497,99497,99492,99497,99497,4516
2024-10-14,99507,99507,99502,99507,99507,6671
2024-10-15,99507,99512,99507,99507,99507,763
2024-10-16,99512,99517,99512,99517,99517,670
2024-10-17,99546,99551,99546,99551,99551,996
2024-10-18,99566,99566,99561,99566,99566,1670
2024-10-21,99566,99566,99561,99566,99566,806
2024-10-22,99571,99576,99571,99576,99576,1323
2024-10-23,99586,99586,99581,99581,99581,940
2024-10-24,99611,99616,99611,99611,99611,372
2024-10-25,99626,99631,99626,99631,99631,393
2024-10-28,99636,99636,99631,99636,99636,1834
2024-10-29,99636,99641,99636,99641,99641,1662
2024-10-30,99656,99656,99631,99651,99651,461
2024-10-31,99680,99680,99671,99680,99680,1052
2024-11-01,99690,99690,99685,99690,99690,536
2024-11-04,99705,99705,99695,99705,99705,334
2024-11-05,99700,99705,99700,99700,99700,583
2024-11-06,99710,99715,99710,99715,99715,371
2024-11-07,99735,99740,99735,99740,99740,148
2024-11-08,99755,99755,99750,99750,99750,370
2024-11-11,99755,99755,99750,99750,99750,936
2024-11-12,99760,99765,99760,99760,99760,615
2024-11-13,99775,99775,99770,99770,99770,1201
2024-11-14,99800,99805,99800,99805,99805,1247
2024-11-15,99819,99819,99814,99814,99814,1305
2024-11-18,99819,99819,99814,99819,99819,912
2024-11-19,99829,99834,99829,99834,99834,269
2024-11-20,99839,99839,99834,99839,99839,620
2024-11-21,99869,99869,99864,99869,99869,3332
2024-11-22,99884,99884,99874,99884,99884,1952
2024-11-25,99884,99884,99879,99884,99884,1846
2024-11-26,99894,99899,99894,99899,99899,2448
2024-11-27,99904,99909,99904,99909,99909,935
2024-11-28,99934,99934,99929,99929,99929,9556
2024-11-29,99949,99949,99944,99949,99949,878
2024-12-02,99949,99949,99944,99949,99949,2842
2024-12-03,99963,99963,99958,99958,99958,687
2024-12-04,99973,99973,99968,99973,99973,1505
2024-12-05,99993,99998,99993,99993,99993,266
2024-12-06,100003,100008,100003,100008,100008,3935
2024-12-09,100008,100013,100008,100013,100013,1999
2024-12-10,100018,100023,100018,100023,100023,1664
2024-12-11,100028,100033,100028,100033,100033,657
2024-12-12,100053,100058,100053,100058,100058,2036
2024-12-13,100063,100068,100063,100068,100068,972
2024-12-16,100078,100078,100073,100073,100073,764
2024-12-17,100092,100092,100088,100092,100092,5210
2024-12-18,100092,100097,100092,100092,100092,2760
2024-12-19,100117,100122,100117,100122,100122,2439
2024-12-20,100132,100137,100132,100137,100137,719
2024-12-23,100152,100152,100147,100147,100147,676
2024-12-24,100167,100167,100162,100167,100167,10344
2024-12-26,100187,100192,100187,100192,100192,12110
2024-12-27,100217,100222,100217,100222,100222,3430
2024-12-30,100222,100227,100222,100227,100227,869
2025-01-02,100246,100251,100246,100251,100251,15650
2025-01-03,100261,100266,100261,100266,100266,2047
2025-01-06,100276,100276,100271,100276,100276,5576
2025-01-07,100281,100281,100276,100276,100276,2471
2025-01-08,100286,100286,100281,100286,100286,1185
2025-01-09,100306,100311,100306,100311,100311,2957
2025-01-10,100321,100321,100316,100321,100321,493
2025-01-13,100326,100326,100321,100326,100326,3831
2025-01-14,100341,100341,100336,100336,100336,3742
2025-01-15,100346,100351,100346,100346,100346,2430
2025-01-16,100375,100375,100370,100375,100375,1792
2025-01-17,100380,100385,100380,100380,100380,756
2025-01-20,100385,100385,100380,100385,100385,1178
2025-01-21,100390,100395,100390,100395,100395,566
2025-01-22,100400,100405,100400,100405,100405,27294
2025-01-23,100465,100465,100460,100465,100465,7489
2025-01-24,100495,100500,100495,100500,100500,11559
2025-01-31,100500,100500,100495,100500,100500,2215
2025-02-03,100505,100509,100505,100505,100505,609
2025-02-04,100519,100519,100514,100519,100519,2306
2025-02-05,100524,100529,100524,100524,100524,1234
2025-02-06,100554,100554,100549,100554,100554,7353
2025-02-07,100564,100564,100559,100564,100564,1217
2025-02-10,100569,100569,100564,100569,100569,3471
2025-02-11,100574,100574,100569,100569,100569,1141
2025-02-12,100579,100584,100579,100584,100584,5792
2025-02-13,100604,100609,100604,100604,100604,2346
2025-02-14,100614,100619,100614,100619,100619,2374
2025-02-17,100619,100624,100619,100619,100619,687
2025-02-18,100629,100634,100629,100629,100629,1865
2025-02-19,100634,100639,100634,100634,100634,1293
2025-02-20,100663,100668,100663,100663,100663,448
2025-02-21,100673,100678,100673,100678,100678,1583
2025-02-24,100673,100678,100673,100673,100673,890
2025-02-25,100683,100688,100683,100688,100688,8149
2025-02-26,100693,100698,100693,100693,100693,2706
2025-02-27,100728,100728,100723,100728,100728,1221
2025-02-28,100738,100743,100738,100743,100743,3839
2025-03-04,100743,100743,100738,100738,100738,1967
2025-03-05,100748,100753,100748,100753,100753,2975
2025-03-06,100773,100778,100773,100773,100773,1162
2025-03-07,100792,100792,100787,100787,100787,2359
2025-03-10,100792,100792,100787,100787,100787,829
2025-03-11,100797,100802,100797,100802,100802,6906
2025-03-12,100807,100812,100807,100812,100812,1870
2025-03-13,100832,100837,100832,100832,100832,1982
2025-03-14,100847,100847,100842,100847,100847,18866
2025-03-17,100847,100852,100847,100852,100852,2679
2025-03-18,100857,100862,100857,100862,100862,1459
2025-03-19,100867,100872,100867,100867,100867,10988
2025-03-20,100887,100892,100887,100892,100892,8422
2025-03-21,100902,100907,100902,100907,100907,4366
2025-03-24,100917,100917,100912,100917,100917,10936
2025-03-25,100917,100921,100917,100917,100917,3275
2025-03-26,100926,100931,100926,100926,100926,2168
2025-03-27,100946,100961,100946,100961,100961,1520
2025-03-28,100956,100961,100956,100961,100961,5528
2025-03-31,100961,100966,100961,100966,100966,3985
2025-04-01,100976,100976,100971,100971,100971,2093
2025-04-02,100976,100981,100976,100976,100976,662
2025-04-03,100991,101011,100991,100996,100996,2515
2025-04-04,101011,101016,101011,101011,101011,3464
2025-04-07,101011,101016,101011,101011,101011,17481
2025-04-08,101026,101026,101021,101026,101026,501
2025-04-09,101026,101031,101026,101026,101026,5907
2025-04-10,101051,101056,101051,101051,101051,1080
2025-04-11,101060,101065,101060,101060,101060,1144
2025-04-14,101065,101070,101065,101070,101070,4555
2025-04-15,101080,101080,101075,101080,101080,2956
2025-04-16,101090,101090,101085,101085,101085,2640
2025-04-17,101105,101110,101105,101105,101105,4184
2025-04-18,101115,101120,101115,101115,101115,1756
2025-04-21,101125,101125,101120,101120,101120,2086
2025-04-22,101120,101130,101120,101130,101130,1080
2025-04-23,101140,101140,101135,101135,101135,2565
2025-04-24,101165,101165,101160,101165,101165,764
2025-04-25,101175,101175,101170,101175,101175,1792
2025-04-28,101175,101180,101175,101175,101175,1507
2025-04-29,101195,101195,101190,101195,101195,16107
2025-04-30,101234,101244,101229,101244,101244,5087
2025-05-02,101249,101249,101244,101244,101244,1322
2025-05-07,101239,101294,101239,101284,101284,4142
2025-05-08,101269,101274,101269,101274,101274,1289
2025-05-09,101279,101284,101279,101284,101284,1931
2025-05-12,101284,101284,101279,101284,101284,3072
2025-05-13,101294,101294,101289,101289,101289,1993
2025-05-14,101294,101299,101294,101294,101294,3905
2025-05-15,101319,101319,101314,101314,101314,2826
2025-05-16,101334,101334,101329,101334,101334,1594
2025-05-19,101334,101334,101329,101329,101329,2583
2025-05-20,101338,101338,101334,101336,101336,2023
2025-05-21,101348,101353,101348,101353,101353,1197
2025-05-22,101368,101373,101368,101373,101373,1052
2025-05-23,101388,101388,101383,101388,101388,2495
2025-05-26,101388,101388,101383,101383,101383,1174
2025-05-27,101398,101398,101393,101398,101398,2749
2025-05-28,101398,101403,101398,101398,101398,1641
2025-05-29,101418,101423,101418,101423,101423,6465
2025-05-30,101433,101438,101433,101438,101438,1771
2025-06-02,101438,101443,101438,101443,101443,6753
2025-06-04,101468,101482,101468,101477,101477,2185
2025-06-05,101487,101487,101482,101482,101482,7149
2025-06-09,101482,101487,101482,101487,101487,8006
2025-06-10,101492,101497,101492,101497,101497,3523
2025-06-11,101497,101502,101497,101502,101502,3313
2025-06-12,101517,101522,101517,101522,101522,1764
2025-06-13,101522,101532,101522,101522,101522,2928
2025-06-16,101537,101542,101537,101542,101542,4902
2025-06-17,101542,101547,101542,101547,101547,2857
2025-06-18,101552,101557,101552,101557,101557,9551
2025-06-19,101572,101577,101572,101572,101572,6602
2025-06-20,101582,101587,101582,101587,101587,3847
2025-06-23,101587,101587,101582,101587,101587,3553
2025-06-24,101597,101597,101592,101597,101597,4707
2025-06-25,101602,101607,101602,101602,101602,1667
2025-06-26,101621,101626,101621,101621,101621,1250
2025-06-27,101636,101636,101631,101636,101636,3059
2025-06-30,101631,101636,101631,101636,101636,2481
2025-07-01,101646,101646,101641,101641,101641,4535
2025-07-02,101651,101651,101646,101651,101651,2637
2025-07-03,101671,101676,101671,101671,101671,1623
2025-07-04,101681,101686,101681,101686,101686,1074
2025-07-07,101681,101686,101681,101686,101686,3383
