Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,44376,44405,44086,44381,44381,49765
2020-01-03,44776,44974,44586,44800,44800,24148
2020-01-06,44698,44703,44493,44665,44665,29010
2020-01-07,44800,45120,44800,45101,45101,18856
2020-01-08,45048,45101,44621,45009,45009,26859
2020-01-09,45376,45385,45072,45217,45217,34495
2020-01-10,45321,45820,45321,45776,45776,30499
2020-01-13,45608,45608,45351,45487,45487,56148
2020-01-14,45761,45924,45548,45815,45815,45888
2020-01-15,45815,45815,45366,45618,45618,22487
2020-01-16,45891,45916,45672,45916,45916,17172
2020-01-17,46165,46278,46137,46248,46248,32661
2020-01-20,46297,46607,46243,46430,46430,46723
2020-01-21,46597,46597,46416,46518,46518,22478
2020-01-22,46553,46976,46553,46971,46971,65857
2020-01-23,46936,46941,46767,46834,46834,54747
2020-01-28,46137,46188,45766,46103,46103,66902
2020-01-29,46802,46976,46518,46956,46956,89614
2020-01-30,46981,47055,46612,46802,46802,49006
2020-01-31,47293,47630,47288,47470,47470,91338
2020-02-03,46622,47470,46572,47405,47405,45734
2020-02-04,47625,47798,47440,47778,47778,41789
2020-02-05,48134,48561,48134,48551,48551,68695
2020-02-06,48704,49039,48416,48719,48719,81216
2020-02-07,48808,49067,48768,48990,48990,41158
2020-02-10,48952,49010,48669,48908,48908,50594
2020-02-11,49174,49595,49174,49442,49442,82644
2020-02-12,49438,49438,49111,49266,49266,96749
2020-02-13,49428,49557,49266,49512,49512,56790
2020-02-14,49517,49873,49517,49673,49673,72213
2020-02-17,49878,50104,49770,50089,50089,75941
2020-02-18,50069,50069,49711,49780,49780,79072
2020-02-19,50144,50374,49996,50281,50281,55459
2020-02-20,50548,50942,50548,50937,50937,118142
2020-02-21,50607,50859,50339,50543,50543,86467
2020-02-24,49086,49527,49020,49222,49222,108017
2020-02-25,47982,48748,47880,48748,48748,171053
2020-02-26,47803,47803,47050,47254,47254,150740
2020-02-27,47194,47194,46440,46454,46454,101676
2020-02-28,44386,44833,43792,43792,43792,157600
2020-03-02,44006,45712,43840,44362,44362,261129
2020-03-03,46782,46787,46108,46137,46137,174590
2020-03-04,44887,45376,44478,45296,45296,226880
2020-03-05,46322,46488,45791,45853,45853,100694
2020-03-06,44873,45301,44307,44680,44680,141313
2020-03-09,42785,42820,42359,42429,42429,133060
2020-03-10,41846,43169,41803,43018,43018,157534
2020-03-11,43091,43136,42268,42483,42483,81279
2020-03-12,41506,41827,39805,40375,40375,141308
2020-03-13,36629,40031,36494,39170,39170,161589
2020-03-16,39219,40385,39219,39899,39899,140145
2020-03-17,38049,39849,37881,39835,39835,66844
2020-03-18,39835,39845,38342,38342,38342,68506
2020-03-19,39414,40245,38507,39342,39342,124805
2020-03-20,39525,40483,39525,40297,40297,86958
2020-03-23,37660,38332,36881,37719,37719,93444
2020-03-24,39064,40279,38634,40274,40274,172682
2020-03-25,41846,41945,39914,40483,40483,213286
2020-03-26,40493,40776,39859,40006,40006,139188
2020-03-27,41501,41817,40621,41240,41240,149140
2020-03-30,39800,41047,39703,40751,40751,106045
2020-03-31,41516,42119,41446,41704,41704,122451
2020-04-01,41359,41437,40582,40690,40690,109684
2020-04-02,40582,40700,40077,40419,40419,98371
2020-04-03,40434,40746,40414,40533,40533,64475
2020-04-06,40728,42186,40695,42066,42066,68869
2020-04-07,42830,43327,42526,43273,43273,92053
2020-04-08,43155,43431,42728,42960,42960,77299
2020-04-09,43792,43792,43307,43792,43792,58008
2020-04-10,43807,43895,43717,43792,43792,46469
2020-04-13,43792,43797,43038,43091,43091,44254
2020-04-14,43920,44959,43915,44820,44820,98991
2020-04-16,44829,46218,44829,46218,46218,97702
2020-04-17,47254,47607,47103,47204,47204,156894
2020-04-20,47685,47685,46337,46719,46719,92444
2020-04-21,46361,47050,46322,46704,46704,88233
2020-04-22,45062,45839,45062,45839,45839,70526
2020-04-23,46811,46816,46273,46680,46680,45378
2020-04-24,46513,46513,46039,46342,46342,42865
2020-04-27,46854,47635,46839,47489,47489,75310
2020-04-28,47513,47523,47132,47410,47410,70407
2020-04-29,47199,47199,46714,46873,46873,91123
2020-05-04,46127,46637,45742,46479,46479,48087
2020-05-06,47587,47817,47328,47817,47817,57268
2020-05-07,47846,48270,47841,48246,48246,77601
2020-05-08,48402,49039,48397,48903,48903,68120
2020-05-11,49232,49311,49076,49164,49164,63109
2020-05-12,49321,49634,49311,49418,49418,89358
2020-05-13,48454,48773,48270,48773,48773,85698
2020-05-14,48270,48382,48002,48017,48017,97110
2020-05-15,48649,48857,48444,48768,48768,66623
2020-05-18,49174,49552,49174,49517,49517,75177
2020-05-19,50194,50213,49831,50119,50119,117230
2020-05-20,50030,50271,49883,50232,50232,58948
2020-05-21,50607,50980,50607,50803,50803,84434
2020-05-22,50611,50788,50119,50199,50199,66729
2020-05-25,51062,51404,51014,51404,51404,83413
2020-05-26,51487,51741,51472,51741,51741,107389
2020-05-27,51677,51677,50567,51067,51067,96526
2020-05-28,51067,51254,50738,51185,51185,78148
2020-05-29,51160,51185,50733,50840,50840,65645
2020-06-01,50919,51658,50919,51264,51264,78129
