Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,9491,9506,9388,9452,9452,1750907
2022-02-23,9877,9877,9744,9818,9818,1215782
2022-02-24,9200,9234,8730,8838,8838,4474254
2022-02-25,9635,9917,9595,9813,9813,3083260
2022-02-28,9788,9966,9734,9813,9813,3095721
2022-03-02,10085,10194,10021,10134,10134,1128829
2022-03-03,10327,10406,10308,10387,10387,961428
2022-03-04,10179,10253,9788,10159,10159,3049365
2022-03-07,9724,9927,9724,9848,9848,1962335
2022-03-08,9546,9664,9353,9353,9353,1881853
2022-03-10,10001,10139,10001,10026,10026,936291
2022-03-11,9912,9971,9803,9966,9966,1886980
2022-03-14,9941,9941,9635,9813,9813,2037958
2022-03-15,9427,9432,9333,9383,9383,2147449
2022-03-16,9902,10026,9852,9946,9946,1862524
2022-03-17,10397,10411,10164,10199,10199,1402844
2022-03-18,10263,10268,10075,10184,10184,1868601
2022-03-21,10748,10782,10693,10738,10738,1321579
2022-03-22,10787,10852,10787,10787,10787,959615
2022-03-23,11168,11232,11119,11183,11183,1073461
2022-03-24,11025,11109,10955,11079,11079,1008079
2022-03-25,11440,11485,11366,11480,11480,1073368
2022-03-28,11450,11485,11411,11465,11465,889977
2022-03-29,11831,11871,11757,11821,11821,1238200
2022-03-30,12014,12054,11915,11979,11979,1715634
2022-03-31,11866,11880,11781,11875,11875,732356
2022-04-01,11579,11623,11554,11623,11623,883294
2022-04-04,11554,11554,11440,11514,11514,1122939
2022-04-05,11895,11920,11841,11861,11861,1248223
2022-04-06,11480,11524,11415,11480,11480,932496
2022-04-07,10936,11010,10871,11010,11010,1238298
2022-04-08,11134,11232,11059,11232,11232,737078
2022-04-11,10901,10901,10753,10861,10861,1641650
2022-04-12,10515,10520,10392,10466,10466,1183646
2022-04-13,10446,10505,10377,10486,10486,995612
2022-04-14,10634,10738,10624,10738,10738,1370427
2022-04-15,10327,10372,10268,10308,10308,365382
2022-04-18,10045,10159,10011,10149,10149,827375
2022-04-19,10451,10530,10382,10505,10505,727611
2022-04-20,10733,10733,10575,10614,10614,1204902
2022-04-21,10614,10723,10599,10664,10664,1325496
2022-04-22,10268,10268,10026,10120,10120,2043716
2022-04-25,9615,9669,9531,9620,9620,3362511
2022-04-26,10001,10060,9956,10031,10031,1103091
2022-04-27,9472,9630,9383,9630,9630,2358339
2022-04-28,9704,9912,9664,9912,9912,1156912
2022-04-29,9927,10021,9887,9887,9887,1474794
2022-05-02,9348,9427,9229,9392,9392,1984765
2022-05-03,9531,9689,9531,9625,9625,1850144
2022-05-04,9580,9630,9521,9630,9630,1116348
2022-05-06,9353,9392,9259,9333,9333,2970916
2022-05-09,8952,8987,8878,8957,8957,2503156
2022-05-10,8507,8685,8329,8685,8685,2694682
2022-05-11,8655,8814,8621,8764,8764,1307941
2022-05-12,8250,8408,8156,8240,8240,3417418
2022-05-13,8334,8448,8319,8388,8388,1992746
2022-05-16,8784,8804,8566,8606,8606,2470999
2022-05-17,8621,8631,8512,8596,8596,1021632
2022-05-18,8769,8814,8720,8720,8720,1629391
2022-05-19,7894,8027,7854,8003,8003,3820345
2022-05-20,7928,8062,7914,7993,7993,1697728
2022-05-23,7998,8007,7914,7993,7993,2045456
2022-05-24,7765,7800,7686,7721,7721,1970246
2022-05-25,7731,7775,7656,7735,7735,1114088
2022-05-26,7810,7923,7790,7800,7800,1918979
2022-05-27,8245,8284,8146,8156,8156,2283058
2022-05-30,8730,8789,8710,8740,8740,1296244
2022-05-31,8660,8660,8502,8542,8542,2153006
2022-06-02,8334,8542,8334,8517,8517,1703580
2022-06-03,8848,8888,8784,8838,8838,1419079
2022-06-07,8611,8611,8477,8537,8537,1488327
2022-06-08,8655,8759,8655,8695,8695,1562017
2022-06-09,8685,8705,8566,8616,8616,2182258
2022-06-10,8349,8438,8270,8433,8433,1044668
2022-06-13,7681,7745,7577,7577,7577,3803705
2022-06-14,7369,7528,7350,7488,7488,2026701
2022-06-15,7419,7449,7360,7409,7409,1780004
2022-06-16,7666,7745,7528,7528,7528,1652963
2022-06-17,7092,7186,7058,7122,7122,2151358
2022-06-20,7369,7384,7241,7330,7330,907478
2022-06-21,7409,7483,7379,7468,7468,919091
2022-06-22,7612,7612,7449,7468,7468,2020467
2022-06-23,7582,7726,7557,7671,7671,1786112
2022-06-24,7849,8062,7844,8032,8032,1082568
2022-06-27,8265,8339,8215,8275,8275,2196276
2022-06-28,8205,8225,8062,8215,8215,1198687
2022-06-29,7750,7824,7691,7824,7824,1279797
2022-06-30,7810,7859,7641,7641,7641,1144479
2022-07-01,7543,7552,7404,7488,7488,2424037
2022-07-04,7661,7661,7572,7651,7651,372499
2022-07-05,7795,7839,7775,7839,7839,988166
2022-07-06,8072,8161,7998,7998,7998,1174018
2022-07-07,8181,8195,8106,8146,8146,1407951
2022-07-08,8393,8418,8359,8374,8374,1464758
2022-07-11,8383,8398,8289,8324,8324,924482
2022-07-12,8275,8275,8136,8156,8156,704273
2022-07-13,8052,8215,8022,8067,8067,1240341
2022-07-14,7884,8037,7879,7998,7998,1159316
2022-07-15,8324,8359,8265,8319,8319,1495676
2022-07-18,8571,8646,8527,8631,8631,1794702
2022-07-19,8393,8413,8280,8334,8334,984291
2022-07-20,8749,8868,8715,8868,8868,1239529
2022-07-21,9017,9076,8977,9002,9002,1274399
2022-07-22,9106,9204,9106,9195,9195,869980
2022-07-25,8972,9007,8913,8992,8992,549079
2022-07-26,8814,8824,8764,8774,8774,244949
2022-07-27,8764,8848,8740,8814,8814,696981
2022-07-28,9145,9145,9007,9007,9007,741551
2022-07-29,9378,9561,9378,9541,9541,1153158
2022-08-01,9620,9664,9590,9590,9590,483486
2022-08-02,9704,9734,9580,9605,9605,548800
2022-08-03,9714,9749,9645,9744,9744,906299
2022-08-04,10115,10209,10110,10174,10174,875628
2022-08-05,10214,10253,10159,10179,10179,570653
2022-08-08,9981,10154,9976,10154,10154,457334
2022-08-09,10016,10085,10006,10021,10021,516010
2022-08-10,9838,9843,9778,9793,9793,443784
2022-08-11,10342,10387,10218,10377,10377,598815
2022-08-12,10293,10293,10154,10218,10218,864473
2022-08-16,10871,10876,10782,10787,10787,984645
2022-08-17,10787,10822,10777,10797,10797,374420
2022-08-18,10555,10693,10535,10644,10644,469251
2022-08-19,10857,10881,10758,10758,10758,578991
2022-08-22,10461,10550,10456,10505,10505,954354
2022-08-23,10194,10238,10050,10065,10065,1178498
2022-08-24,10080,10110,9991,10075,10075,228596
2022-08-25,10144,10283,10105,10273,10273,1123083
2022-08-26,10382,10397,10288,10293,10293,300825
2022-08-29,9328,9561,9328,9541,9541,932657
2022-08-30,9610,9655,9536,9625,9625,591516
2022-08-31,9388,9467,9343,9353,9353,853898
2022-09-01,9036,9125,9002,9096,9096,582451
2022-09-02,9318,9412,9284,9412,9412,292380
2022-09-05,9200,9308,9150,9294,9294,328728
2022-09-06,9284,9442,9249,9407,9407,401289
2022-09-07,9209,9308,9155,9294,9294,718400
2022-09-08,9541,9729,9511,9729,9729,767870
2022-09-13,10308,10392,10283,10377,10377,307973
2022-09-14,9472,9481,9368,9432,9432,1177154
2022-09-15,9580,9664,9566,9615,9615,414005
2022-09-16,9204,9209,9007,9041,9041,2157101
2022-09-19,9041,9096,8962,8992,8992,551557
2022-09-20,9289,9323,9229,9269,9269,638644
2022-09-21,9076,9254,9056,9120,9120,1103718
2022-09-22,8735,8932,8725,8932,8932,1021239
2022-09-23,8794,8809,8690,8744,8744,509886
2022-09-26,8586,8715,8576,8596,8596,1203382
2022-09-27,8824,8824,8695,8754,8754,811197
2022-09-28,8641,8740,8571,8705,8705,1137889
2022-09-29,8947,9096,8918,8952,8952,594518
2022-09-30,8586,8616,8448,8581,8581,996174
2022-10-04,8829,8829,8690,8764,8764,1188050
