Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,15.358,15.6057,15.3033,15.6032,15.6032,7547933
2020-01-03,15.1929,15.5067,15.1929,15.3267,15.3267,11029207
2020-01-06,15.0719,15.5217,15.0406,15.5092,15.5092,6813535
2020-01-07,15.5291,15.5984,15.416,15.5017,15.5017,5514624
2020-01-08,15.4983,15.8861,15.4557,15.7349,15.7349,9260245
2020-01-09,15.9991,16.0644,15.8216,16.0139,16.0139,7277124
2020-01-10,16.134,16.134,15.8702,15.9292,15.9292,9012558
2020-01-13,16.0456,16.2952,16.009,16.2867,16.2867,5502861
2020-01-14,16.2618,16.3264,16.1091,16.1662,16.1662,7841960
2020-01-15,16.1761,16.3199,16.0684,16.1687,16.1687,6876082
2020-01-16,16.3234,16.4801,16.2618,16.4737,16.4737,4981170
2020-01-17,16.6208,16.6636,16.4572,16.6407,16.6407,5813733
2020-01-21,16.5455,16.7067,16.538,16.6257,16.6257,6647902
2020-01-22,16.7873,16.9016,16.667,16.7102,16.7102,5970831
2020-01-23,16.6882,16.8231,16.5365,16.8093,16.8093,5816428
2020-01-24,16.9818,17.004,16.3769,16.5218,16.5218,13621382
2020-01-27,15.7918,16.0164,15.6777,15.8415,15.8415,14984995
2020-01-28,16.0605,16.3975,15.9826,16.3199,16.3199,5980464
2020-01-29,16.5109,16.5445,16.2381,16.3709,16.3709,8440727
2020-01-30,16.1647,16.5069,16.0704,16.49,16.49,9419908
2020-01-31,16.6222,16.6372,15.8489,15.9553,15.9553,14586687
2020-02-03,16.1166,16.5198,16.1053,16.4304,16.4304,8442075
2020-02-04,16.8926,17.2585,16.7858,17.1861,17.1861,7365785
2020-02-05,17.6224,17.6224,17.1068,17.3178,17.3178,13371880
2020-02-06,17.4007,17.6204,17.2784,17.6054,17.6054,5066298
2020-02-07,17.453,17.6463,17.3562,17.447,17.447,5928235
2020-02-10,17.3427,17.8792,17.3337,17.8792,17.8792,5921724
2020-02-11,18.0735,18.1908,17.789,17.8792,17.8792,13586031
2020-02-12,18.0834,18.2436,18.0082,18.2303,18.2303,8597462
2020-02-13,17.9733,18.3279,17.9337,18.1693,18.1693,8657113
2020-02-14,18.2338,18.3164,18.1133,18.2659,18.2659,5218104
2020-02-18,18.0899,18.3612,18.0636,18.2967,18.2967,7498584
2020-02-19,18.5041,18.7195,18.4752,18.6403,18.6403,4690983
2020-02-20,18.5611,18.6338,17.8388,18.2782,18.2782,10885760
