Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,10.6258,10.8805,10.5668,10.8805,10.8805,137164654
2020-01-03,10.4553,10.7801,10.4494,10.5845,10.5845,151656464
2020-01-06,10.3335,10.7895,10.2952,10.7857,10.7857,134388974
2020-01-07,10.7967,10.8735,10.6792,10.7728,10.7728,120077031
2020-01-08,10.7751,11.1729,10.7236,11.0206,11.0206,167237837
2020-01-09,11.2868,11.3621,11.1058,11.2984,11.2984,152764243
2020-01-10,11.4257,11.4354,11.1546,11.2066,11.2066,143762186
2020-01-13,11.3463,11.6041,11.2966,11.5983,11.5983,122400480
2020-01-14,11.5681,11.6366,11.4053,11.4627,11.4627,153116146
2020-01-15,11.4725,11.6339,11.3573,11.4701,11.4701,138801990
2020-01-16,11.632,11.7966,11.562,11.7898,11.7898,126380751
2020-01-17,11.9434,11.9939,11.7694,11.9659,11.9659,150698697
2020-01-21,11.8618,12.0392,11.8533,11.9595,11.9595,144937590
2020-01-22,12.1253,12.2519,11.9992,12.041,12.041,142084826
2020-01-23,12.0171,12.1686,11.8543,12.1527,12.1527,149849264
2020-01-24,12.3251,12.362,11.6799,11.838,11.838,249811592
2020-01-27,11.0493,11.3003,10.8016,11.1058,11.1058,207286590
2020-01-28,11.3369,11.699,11.2568,11.6223,11.6223,179355495
2020-01-29,11.813,11.8533,11.5203,11.664,11.664,144613022
2020-01-30,11.4507,11.8101,11.3369,11.7956,11.7956,208980505
2020-01-31,11.9395,11.9481,11.1086,11.2159,11.2159,229993123
2020-02-03,11.3922,11.8172,11.3703,11.7309,11.7309,181779815
2020-02-04,12.2173,12.6064,12.1001,12.5325,12.5325,146364269
2020-02-05,13.003,13.0053,12.4434,12.6771,12.6771,182225308
2020-02-06,12.7577,13.0008,12.6255,12.9864,12.9864,118065860
2020-02-07,12.8138,13.0328,12.7108,12.8187,12.8187,160768743
2020-02-10,12.6942,13.2847,12.6845,13.281,13.281,128622900
2020-02-11,13.4989,13.6395,13.1851,13.2904,13.2904,202218936
2020-02-12,13.5214,13.697,13.427,13.6795,13.6795,126910075
2020-02-13,13.3901,13.7864,13.3408,13.6268,13.6268,162052890
2020-02-14,13.681,13.7737,13.5445,13.7193,13.7193,118939054
2020-02-18,13.5253,13.8263,13.4861,13.7434,13.7434,136853201
2020-02-19,13.9908,14.2295,13.9417,14.141,14.141,110232720
2020-02-20,14.0501,14.1314,13.2224,13.7385,13.7385,237583988
2020-02-21,13.5422,13.6043,12.7836,12.9527,12.9527,216455999
2020-02-24,11.5322,11.9273,11.2149,11.4602,11.4602,281432303
2020-02-25,11.7295,11.8475,10.4135,10.5332,10.5332,313908482
2020-02-26,10.6938,11.2266,10.4388,10.6782,10.6782,355386419
2020-02-27,9.85768,10.3497,9.05278,9.08151,9.08151,443652103
2020-02-28,8.19373,9.27461,8.08497,9.22288,9.22288,516946095
2020-03-02,9.495,10.5092,9.09925,10.482,10.482,379368617
2020-03-03,10.5845,10.9596,9.20849,9.495,9.495,572025574
2020-03-04,10.0063,10.6782,9.73796,10.6467,10.6467,329598122
2020-03-05,9.85051,10.392,9.47296,9.71252,9.71252,403844204
2020-03-06,8.73322,9.35223,8.5042,9.2037,9.2037,410677115
2020-03-09,7.36967,8.28285,7.30643,7.33422,7.33422,424709298
2020-03-10,8.14247,8.49558,7.30643,8.47545,8.47545,476145790
2020-03-11,7.87895,8.05288,7.06687,7.38548,7.38548,453800126
2020-03-12,5.92899,6.88721,5.31813,5.36125,5.36125,645181561
2020-03-13,6.25719,6.86469,5.39719,6.80816,6.80816,580545880
2020-03-16,4.8462,5.82122,4.43057,4.46171,4.46171,686992623
2020-03-17,4.71684,5.40675,4.28204,5.18877,5.18877,795245924
2020-03-18,4.34792,4.97078,3.92032,4.70872,4.70872,886016844
2020-03-19,4.65313,5.27979,4.31199,4.81744,4.81744,839899581
2020-03-20,5.14948,5.24624,4.20418,4.2533,4.2533,816362759
2020-03-23,4.30359,4.55154,3.86521,4.26648,4.26648,855830368
2020-03-24,4.93867,5.23908,4.80645,5.21752,5.21752,866005291
2020-03-25,5.29418,5.72968,4.92045,5.09678,5.09678,871275897
